University,Faculty name,Year of BS,University BS,State BS,Country BS,Category US BS,Year of MS,University MS,State MS,Country MS,Category US MS,Year of Phd,University Phd,State Phd,Country Phd,Category US Phd,Year of PostDoc,University PostDoc,State PostDoc,Country PostDoc,Category US PstDoc,Year Asst. Prof,Area,Category Area,University Asst. Prof,Category University (Rank),Citation,,,,,,RAW Data,RAW Data,RAW Data,RAW Data,RAW Data,,,,,
Carnegie Mellon University,Andre Platzer,1999,,,,0,2004,Karlsruhe Institute of Technology - Germany,,Germany,0,2008,Carl von Ossietzky University of Oldenburg - Germany,,Germany,0,,,,,0,2008,Scientific Computing,,CMU,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Andy Pavlo,2005,Rochester Institute of Technology - USA,NY,USA,1,2006,Brown University - USA,Rhode Island,USA,1,2009,Brown University - USA,Rhode Island,USA,1,,,,,0,2013,Databases,5,CMU,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Anupam Datta,,Indian Institute of Technology - Kharagpur - India,,Kharagpur - India,0,,Stanford University - USA,CA,USA,1,2005,Stanford University - USA,NY,USA,1,,,,,0,2007,Security & Privacy,,,1,https://scholar.google.com/citations?user=oK3QM1wAAAAJ&hl=en&oi=ao,,,,,,,,,,,,,,,
Carnegie Mellon University,Anupam Gupta,,Indian Institute of Technology - Kanpur - India,,Kanpur - India,0,,,,,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,2004,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Ariel Procaccia,,Hebrew University of Jerusalem - Israel,,Israel,0,,,,,0,,Hebrew University of Jerusalem - Israel,,Israel,0,,Microsoft Israel R&D Center - Harvard University - USA,,USA,1,2011,Artificial Intelligence,1,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Christos Faloutsos,,National Technical University of Athens - Greece,,Greece,0,,University of Toronto - Canada,,Canada,0,,University of Toronto - Canada,,Canada,0,,,,,0,1998,Data Mining,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Daniel D. Sleator,,,,,0,,,,,0,,Stanford University - USA,,USA,1,,,,,0,1999,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Daniel P. Siewiorek,,University of Michigan - USA,Michigan,USA,1,,Stanford University - USA,CA,USA,1,,Stanford University - USA,CA,USA,1,,,,,0,1972,Human-Computer Interaction,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David Andersen,,University of Utah - USA,,USA,1,2001,Massachusetts Institute of Technology - USA,MA,USA,1,2004,Massachusetts Institute of Technology - USA,MA,USA,1,,,,,0,,Networks & Communications,,,1,https://scholar.google.com/citations?user=wUArfPgAAAAJ,,,,,,,,,,,,,,,
Carnegie Mellon University,David Brumley,,University of Northern Colorado - USA,,USA,1,,Stanford University - USA,CA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,,Security & Privacy,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David Garlan,,,,,0,,,,,0,,Carnegie Mellon University - USA,,USA,1,,,,,0,,Software Engineering,7,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,David O'Hallaron,,Virginia Polytechnic Institute and State University - USA,,USA,1,,University of Virginia - USA,Virginia,USA,1,,University of Virginia - USA,Virginia,USA,1,,,,,0,1989,Scientific Computing,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Edmund M. Clarke,,University of Virginia - USA,,USA,1,,Duke University - USA,NC,USA,1,,Cornell University - USA,NY,USA,1,,,,,0,1982,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Eric Poe Xing,,Tsinghua University - Beijing - China,,Beijing - China,0,,Rutgers - State University of New Jersey - New Brunswick - USA,,State University of New Jersey - New Brunswick - USA,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,2004,Machine Learning & Pattern Recognition,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Frank Pfenning,,Technische Universität Darmstadt - Germany,,Germany,0,,Carnegie Mellon University - USA,PA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,1986,Programming Languages,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Garth Gibson,,University of Waterloo - Ontario - Canada,,Ontario - Canada,0,,University of California - Berkeley - USA,,Berkeley - USA,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,1991,Hardware & Architecture,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Gary Miller,,,,,0,,,,,0,,University of California - Berkeley - USA,,Berkeley - USA,1,,,,,0,,Algorithms & Theory,2,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Greg Ganger,,University of Michigan - USA,Michigan,USA,1,,University of Michigan - USA,Michigan,USA,1,,University of Michigan - USA,Michigan,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,,Operating Systems,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Guy Blelloch,,Swarthmore College - USA,,USA,1,,,,,0,,Massachusetts Institute of Technology - USA,,USA,1,,,,,0,,Distributed & Parallel Computing,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Hui Zhang,,Peking University - Beijing - China,,Beijing - China,0,,Rensselaer Polytechnic Institute - USA,NY,USA,1,,University of California - Berkeley - USA,CA,Berkeley - USA,1,,,,,0,,Networks & Communications,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,J. Zico Kolter,,Georgetown University - USA,,USA,1,,,,,0,,Stanford University - USA,,USA,1,,Massachusetts Institute of Technology - USA,MA,USA,1,2012,Real-Time & Embedded Systems,,,1,,,,,,,,,,,,,,,,
Carnegie Mellon University,Jacobo Carrasquel,,Carnegie Mellon University - USA,PA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,Carnegie Mellon University - USA,PA,USA,1,,,,,0,1980,Computer Education,,,1,,,,,,,,,,,,,,,,
