Area,Male,Female
Energy Efficient Systems,0,2
Programming Languages,61,9
Knowledge Representation,2,0
AI,124,31
Networks,79,15
Information Retrieval,8,2
ML,51,15
Emerging Technology,1,3
Security,90,16
Database,48,6
Data Analytics,24,10
Multimedia,8,4
Distributed Systems,33,1
Systems,84,12
Computing,55,8
Computer Architecture,86,10
Computational Biology,62,12
Game Design,3,0
Algorithms,141,16
NLP,28,8
Graphics,59,7
Computer Education,17,5
Human Computer Interaction,42,10
Robotics,8,4
Computer Vision,44,3
Software Engineering,46,6
Modeling,6,1
Theory,33,6
