Area,Prof_Count
Algorithms,165
AI,155
Security,107
Computer Architecture,101
Systems,100
Networks,95
Computational Biology,77
Programming Languages,71
ML,69
Graphics,67
Computing,66
Software Engineering,56
Database,55
Human Computer Interaction,53
Computer Vision,48
Theory,44
NLP,36
Data Analytics,35
Distributed Systems,35
Computer Education,22
Multimedia,12
Robotics,12
Information Retrieval,11
Modeling,8
Emerging Technology,4
Game Design,3
Energy Efficient Systems,2
Knowledge Representation,2
